ID,PA,PB,PC,PD,PE,PF,PG
PR40247,638,332,193,122,83,59,44
PR40248,707,366,211,133,90,64,47
PR40249,884,456,262,165,111,78,58
PR40250,569,298,174,111,75,54,40
PR40251,487,254,148,94,64,46,34
PR40252,550,290,171,109,75,54,40
PR40253,637,335,197,126,86,62,46
PR40254,498,263,155,99,68,49,37
PR40255,502,265,156,100,68,49,37
PR40256,432,230,136,88,60,44,33
PR40257,426,226,134,86,59,43,32
PR40258,437,232,137,88,61,44,33
PR40259,428,222,129,82,56,40,30
PR40260,847,434,248,155,104,73,54
PR40261,741,383,221,139,93,66,49
PR40262,884,455,262,164,110,78,58
PR40263,805,414,238,149,100,71,52
PR40264,515,268,156,99,67,48,36
PR40265,538,281,164,104,71,51,38
PR40266,639,328,188,118,79,56,41
PR40267,633,328,190,120,81,58,43
PR40268,614,318,184,116,78,56,41
PR40269,578,301,175,111,75,54,40
PR40270,540,282,165,105,71,51,38
PR40271,515,270,158,101,69,49,37
PR40272,563,292,169,107,72,52,38
PR40273,470,246,144,92,63,45,34
PR40274,426,225,133,85,58,42,32
PR40275,526,274,160,101,69,49,37
PR40276,442,234,138,89,61,44,33
PR40277,455,241,142,91,62,45,34
PR40278,478,249,145,92,62,45,33
PR40279,756,391,226,142,96,68,50
PR40280,749,387,223,140,94,67,49
PR40281,706,365,211,133,89,63,47
PR40282,804,415,239,150,101,71,53
PR40283,840,435,251,158,106,75,56
PR40284,780,404,233,147,99,70,52
PR40285,818,424,245,154,104,74,55
PR40286,836,433,251,158,106,75,56
PR40287,758,392,226,142,96,68,50
PR40288,593,309,180,114,77,55,41
PR40289,739,381,219,138,93,66,49
PR40290,702,362,209,131,88,62,46
PR40291,725,372,214,134,90,64,47
PR40292,540,283,165,105,71,51,38
PR40293,541,280,162,102,69,49,36
PR40294,492,257,150,95,65,46,35
PR40295,539,282,165,105,71,51,38
PR40296,602,312,181,114,77,55,41
PR40297,508,266,155,99,67,48,36
PR40298,685,354,204,129,87,62,46
PR40299,417,220,130,83,57,41,31
PR40300,640,331,192,121,82,58,43
PR40301,450,236,138,88,60,43,32
PR40302,624,324,188,119,80,57,43
PR40303,530,279,164,105,72,52,39
PR40304,530,278,163,104,71,51,38
PR40305,567,296,173,110,75,54,40
PR40306,496,260,152,97,66,47,35
PR40307,486,256,151,97,66,48,36
PR40308,490,254,147,93,63,45,34
PR40309,576,302,177,113,77,55,41
PR40310,488,257,151,97,66,48,36
PR40311,488,257,151,97,66,48,36
PR40312,577,300,174,110,75,53,40
PR40313,503,264,155,99,67,48,36
PR40314,474,250,147,94,64,46,35
PR40315,361,191,113,73,50,36,27
PR40316,649,344,203,130,89,64,48
PR40317,575,307,183,118,81,59,44
PR40318,524,283,170,110,76,55,42
PR40319,607,324,193,124,85,62,46
PR40320,487,259,154,99,68,49,37
PR40321,447,235,138,88,60,43,33
PR40322,550,288,169,108,73,53,39
PR40323,465,246,145,93,64,46,35
PR40324,493,260,153,98,67,48,36
PR40325,497,259,151,96,65,47,35
PR40326,461,241,141,90,61,44,33
PR40327,392,202,117,74,50,36,27
PR40328,596,314,185,118,81,58,43
PR40329,495,265,158,102,71,51,39
PR40330,485,259,154,100,69,50,38
PR40331,463,244,144,92,63,45,34
PR40332,429,226,133,85,58,42,32
PR40333,540,281,164,104,71,51,38
PR40334,510,267,156,99,67,48,36
PR40335,443,232,136,87,59,43,32
PR40336,439,232,137,88,60,43,33
PR40337,413,219,130,84,58,42,32
PR40338,412,214,124,79,53,38,28
PR40339,393,206,121,77,53,38,29
PR40340,372,193,112,71,48,35,26
PR40341,461,240,140,89,60,43,32
PR40342,436,229,134,86,58,42,31
PR40343,397,207,121,77,52,38,28
PR40344,546,286,167,106,72,52,39
PR40345,420,219,128,81,55,40,30
PR40346,529,275,159,101,68,49,36
PR40347,539,284,167,107,73,52,39
PR40348,626,324,187,118,79,56,42
PR40349,491,258,151,96,65,47,35
PR40350,560,292,170,108,73,52,39
PR40351,560,291,169,107,72,51,38
PR40352,487,253,147,93,63,45,34
PR40353,577,299,173,109,73,52,39
PR40354,509,261,150,94,63,45,33
PR40355,636,324,185,115,77,54,40
PR40356,527,272,157,99,67,47,35
PR40357,632,323,185,115,77,54,40
PR40358,497,254,145,91,61,43,32
PR40359,686,347,196,121,80,56,41
PR40360,537,275,157,98,66,46,34
PR40361,723,367,208,129,86,60,44
PR40362,664,333,187,115,76,53,38
PR40363,458,236,136,85,57,40,30
PR40364,767,387,219,135,89,62,45
PR40365,731,375,215,134,90,63,47
PR40366,637,325,186,116,77,54,40
PR40367,663,345,200,127,86,61,45
PR40368,711,369,214,135,91,65,48
PR40369,678,353,205,130,88,63,47
PR40370,510,271,161,104,71,52,39
PR40371,476,255,152,99,68,50,38
PR40372,477,252,149,95,65,47,35
PR40373,434,229,135,86,59,43,32
PR40374,414,219,130,83,57,41,31
PR40375,354,187,111,71,49,35,27
PR40376,316,168,100,64,44,32,24
PR40377,301,165,101,67,47,35,27
PR40378,306,169,104,69,49,36,28
PR40379,224,127,80,54,39,29,23
PR40380,232,130,81,54,39,29,22
PR40381,220,126,80,54,39,29,23
PR40382,320,178,110,73,52,38,30
PR40383,204,118,75,51,37,28,22
PR40384,883,448,254,157,104,73,53
PR40385,649,328,186,115,76,53,39
PR40386,728,376,217,136,91,65,48
PR40387,655,333,190,118,78,55,40
PR40388,634,323,184,114,76,53,39
PR40389,585,297,169,105,70,49,36
PR40390,550,282,162,101,68,48,35
PR40391,633,325,187,117,79,56,41
PR40392,473,248,145,93,63,45,34
PR40393,568,295,171,108,73,52,39
PR40394,568,295,171,108,73,52,39
PR40395,504,265,156,100,68,49,37
PR40396,400,213,126,81,56,41,31
PR40397,340,178,104,66,45,33,25
PR40398,421,223,132,85,58,42,32
PR40399,484,255,150,96,66,47,35
PR40400,560,288,166,104,70,50,37
PR40401,510,264,153,97,65,47,35
PR40402,428,224,131,83,57,41,31
PR40403,301,156,91,58,40,29,22
PR40404,396,207,121,77,52,38,28
PR40405,424,222,130,83,57,41,31
PR40406,370,196,116,75,51,37,28
PR40407,357,190,113,73,50,36,27
PR40408,426,224,132,84,58,42,31
PR40409,378,198,116,74,51,37,28
PR40410,323,171,101,65,45,33,25
PR40411,311,166,99,64,44,32,24
PR40412,415,218,128,82,56,40,30
PR40413,369,195,115,74,51,37,28
PR40414,397,211,125,81,56,40,30
PR40415,359,190,112,72,49,36,27
PR40416,926,470,267,165,110,77,56
PR40417,692,357,206,129,87,61,45
PR40418,830,421,239,148,98,69,50
PR40419,689,360,210,133,90,64,48
PR40420,712,367,212,133,90,64,47
PR40421,688,354,204,128,86,61,45
PR40422,536,280,163,104,70,50,38
PR40423,532,277,161,102,69,49,37
PR40424,462,243,143,91,62,45,34
PR40425,527,276,161,103,70,50,38
PR40426,502,262,153,97,66,47,35
PR40427,509,264,153,97,66,47,35
PR40428,730,384,226,144,98,70,53
PR40429,878,449,257,160,107,75,55
PR40430,595,303,173,108,72,51,37
PR40431,542,283,165,105,71,51,38
PR40432,496,265,158,102,70,51,38
PR40433,525,275,161,103,70,50,38
PR40434,498,261,153,97,66,48,36
PR40435,392,205,120,77,52,38,28
PR40436,448,235,138,88,60,43,32
PR40437,443,234,138,88,60,43,33
PR40438,338,177,104,66,45,33,25
PR40439,381,202,119,77,53,38,29
PR40440,403,213,126,81,56,40,30
PR40441,424,226,135,87,60,44,33
PR40442,447,238,142,92,63,46,35
PR40443,370,193,113,72,49,35,26
PR40444,519,270,157,100,68,49,36
PR40445,427,225,132,85,58,42,31
PR40446,421,219,127,81,55,39,29
PR40447,422,222,130,83,57,41,31
PR40448,362,192,114,73,50,36,27
PR40449,410,215,126,80,55,39,30
PR40450,400,212,125,80,55,40,30
PR40451,374,195,114,73,50,36,27
PR40452,336,177,104,67,46,33,25
PR40453,307,163,97,62,43,31,24
PR40454,396,210,124,80,55,40,30
PR40455,335,175,103,66,45,33,25
PR40456,465,244,143,91,62,45,34
PR40457,402,213,126,81,56,40,30
PR40458,404,215,128,82,57,41,31
PR40459,389,206,122,78,54,39,29
PR40460,418,219,128,82,56,40,30
PR40461,327,173,102,66,45,33,25
PR40462,304,162,96,62,43,31,24
PR40463,312,166,99,64,44,32,24
PR40464,403,211,124,79,54,39,29
PR40465,407,214,126,81,55,40,30
PR40466,396,210,124,80,55,40,30
PR40467,297,159,95,62,43,31,24
PR40468,344,180,105,67,46,33,25
PR40469,411,216,127,81,55,40,30
PR40470,403,214,127,82,56,41,31
PR40471,327,170,99,63,43,31,23
PR40472,504,264,154,98,67,48,36
PR40473,418,221,130,83,57,41,31
PR40474,534,279,162,103,70,50,37
PR40475,443,233,137,87,59,43,32
PR40476,482,249,144,91,61,44,32
PR40477,461,241,141,89,61,43,32
PR40478,516,266,153,96,64,46,34
PR40479,554,283,162,101,67,47,35
PR40480,618,315,180,112,75,53,39
PR40481,764,390,223,139,93,65,48
PR40482,769,387,218,134,88,61,45
PR40483,732,375,215,134,89,63,46
PR40484,648,323,181,110,72,50,36
PR40485,717,359,202,124,81,56,41
PR40486,575,295,169,106,71,50,37
PR40487,557,286,164,102,68,48,35
PR40488,804,407,230,142,94,66,48
PR40489,631,327,189,119,80,57,42
PR40490,658,341,197,124,84,60,44
PR40491,639,329,189,119,80,57,42
PR40492,523,272,158,100,68,48,36
PR40493,381,202,120,77,53,38,29
PR40494,624,322,186,117,79,56,42
PR40495,471,247,145,92,63,45,34
PR40496,466,244,143,91,62,45,34
PR40497,575,298,173,109,74,53,39
PR40498,435,228,134,86,59,42,32
PR40499,752,379,214,132,87,61,44
PR40500,737,380,219,137,92,65,48
PR40501,682,343,193,119,78,54,40
PR40502,681,360,212,136,93,67,50
PR40503,384,199,115,73,49,35,26
PR40504,491,255,148,93,63,45,33
PR40505,438,225,130,82,55,39,29
PR40506,484,248,142,89,60,42,31
PR40507,463,237,136,85,57,40,30
PR40508,503,257,147,92,61,43,32
PR40509,734,374,213,132,88,62,45
PR40510,833,424,241,150,100,70,51
PR40511,744,375,212,131,86,60,44
PR40512,608,313,180,113,76,54,40
PR40513,811,408,230,141,93,65,47
PR40514,698,359,206,129,86,61,45
PR40515,719,361,203,125,82,57,41
PR40516,514,253,140,84,55,38,27
PR40517,690,354,203,127,85,60,44
PR40518,563,280,156,95,62,43,31
PR40519,531,266,150,92,61,42,31
PR40520,531,277,161,102,69,49,37
PR40521,594,302,172,107,71,50,37
PR40522,839,431,247,155,104,73,54
PR40523,578,295,169,105,70,49,36
PR40524,799,410,235,147,98,69,51
PR40525,632,325,187,117,79,56,41
PR40526,651,335,193,121,81,58,43
PR40527,679,351,203,128,86,61,45
PR40528,499,262,154,98,67,48,36
PR40529,706,365,211,133,90,64,47
PR40530,549,287,168,107,73,52,39
PR40531,503,264,155,99,67,48,36
PR40532,644,334,194,123,83,59,44
PR40533,502,263,154,98,67,48,36
PR40534,460,243,143,92,63,45,34
PR40535,728,367,207,127,84,58,42
PR40536,520,275,163,104,71,51,39
PR40537,358,190,112,72,50,36,27
PR40538,415,218,128,82,56,40,30
PR40539,331,176,104,67,46,33,25
PR40540,390,204,119,76,52,37,28
PR40541,351,184,108,69,47,34,26
PR40542,343,181,107,69,47,34,26
PR40543,368,196,116,75,52,38,29
PR40544,365,194,115,74,51,37,28
PR40545,449,237,140,90,61,44,33
PR40546,567,294,170,107,72,51,38
PR40547,722,366,208,129,85,60,44
PR40548,626,321,184,115,77,54,40
PR40549,638,328,188,118,79,56,41
PR40550,857,438,250,156,104,73,54
PR40551,715,362,206,127,84,59,43
PR40552,640,332,192,121,81,58,43
PR40553,825,417,236,146,96,67,49
PR40554,633,326,188,118,79,56,41
PR40555,805,407,230,142,94,66,48
PR40556,701,361,208,130,87,62,46
PR40557,682,342,192,118,77,54,39
PR40558,610,306,172,106,70,49,35
PR40559,593,305,175,110,74,52,38
PR40560,427,225,133,85,58,42,32
PR40561,433,228,134,86,59,42,32
PR40562,474,249,146,93,64,46,34
PR40563,339,180,107,69,48,35,26
PR40564,373,198,117,75,52,38,28
PR40565,363,192,113,73,50,36,27
PR40566,341,182,108,70,48,35,27
PR40567,327,172,101,65,44,32,24
PR40568,476,247,143,90,61,44,33
PR40569,408,215,126,81,55,40,30
PR40570,376,198,116,74,51,37,28
PR40571,482,252,147,93,63,45,34
PR40572,489,255,148,94,64,45,34
PR40573,573,294,169,106,71,50,37
PR40574,777,398,228,142,95,67,49
PR40575,709,366,211,132,89,63,47
PR40576,795,404,230,143,95,67,49
PR40577,598,308,177,111,74,53,39
PR40578,635,321,182,112,74,52,38
PR40579,512,270,159,102,70,50,38
PR40580,400,212,125,80,55,40,30
PR40581,423,220,128,81,55,39,29
PR40582,459,242,142,91,62,45,34
PR40583,460,242,142,91,62,44,33
PR40584,579,298,171,107,72,51,38
PR40585,639,330,190,119,80,57,42
PR40586,575,298,172,108,73,52,38
PR40587,602,312,180,113,76,54,40
PR40588,613,311,177,110,73,51,38
PR40589,480,247,142,89,60,42,31
PR40590,474,244,140,88,59,42,31
PR40591,840,431,247,154,103,73,54
PR40592,827,420,239,148,98,69,50
PR40593,832,422,240,149,99,69,51
PR40594,622,312,176,108,71,49,36
PR40595,683,352,203,127,85,60,44
PR40596,863,437,248,153,101,71,52
PR40597,815,412,233,144,95,66,48
PR40598,667,344,198,124,83,59,43
PR40599,590,296,167,102,67,47,34
PR40600,511,255,143,87,57,40,29
PR40601,464,230,128,78,51,35,25
PR40602,484,250,144,91,61,43,32
PR40603,400,198,110,67,44,30,22
PR40604,359,186,108,68,46,33,24
PR40605,360,178,99,60,39,27,20
PR40606,418,219,128,81,55,39,29
PR40607,345,171,95,58,38,26,19
PR40608,521,265,151,94,63,44,32
PR40609,367,184,104,64,42,29,21
PR40610,546,279,159,99,66,47,34
PR40611,458,231,131,81,54,38,28
PR40612,512,261,149,93,62,44,32
PR40613,320,167,97,62,42,30,23
PR40614,506,259,148,93,62,44,32
PR40615,292,153,90,57,39,28,21
PR40616,502,256,146,91,61,43,32
PR40617,479,248,143,90,61,43,32
PR40618,399,202,114,71,47,33,24
PR40619,389,200,115,72,48,34,25
PR40620,242,127,74,47,32,23,17
PR40621,491,253,146,92,62,44,33
PR40622,415,216,126,80,54,39,29
PR40623,445,226,129,80,53,38,28
PR40624,336,175,102,65,44,32,24
PR40625,242,128,75,48,33,24,18
PR40626,423,218,125,79,53,38,28
PR40627,297,156,91,58,40,29,22
PR40628,442,225,128,80,53,38,28
PR40629,384,199,115,73,49,35,26
PR40630,162,89,54,36,25,19,14
PR40631,471,241,138,86,58,41,30
PR40632,322,169,99,63,43,31,23
PR40633,239,126,74,48,33,24,18
PR40634,334,174,101,64,43,31,23
PR40635,285,151,89,57,39,28,21
PR40636,410,211,121,76,51,36,27
PR40637,335,175,102,65,44,32,24
PR40638,305,161,95,61,42,30,23
PR40639,393,203,117,74,50,36,27
PR40640,413,217,127,81,55,40,30
PR40641,394,207,122,78,53,38,29
PR40642,437,228,133,84,57,41,31
PR40643,471,248,146,93,64,46,34
PR40644,257,140,85,56,39,29,22
PR40645,412,215,125,79,54,39,29
PR40646,363,191,112,72,49,35,26
PR40647,331,173,101,64,44,32,24
PR40648,408,214,125,80,54,39,29
PR40649,414,217,127,81,55,39,29
PR40650,553,285,164,103,69,49,36
PR40651,453,237,138,88,60,43,32
PR40652,469,243,140,88,59,42,31
PR40653,422,219,127,80,54,39,29
PR40654,296,153,88,56,38,27,20
PR40655,526,269,154,96,64,45,33
PR40656,424,218,125,78,52,37,27
PR40657,553,283,162,101,68,48,35
PR40658,419,216,125,79,53,38,28
PR40659,623,317,181,112,75,53,39
PR40660,462,238,137,86,58,41,30
PR40661,699,356,203,126,84,59,43
PR40662,406,209,120,75,50,36,27
PR40663,564,285,161,99,66,46,34
PR40664,426,218,125,78,52,37,27
PR40665,702,357,203,126,84,59,43
PR40666,504,259,149,93,62,44,33
PR40667,628,320,182,113,75,53,39
PR40668,693,349,197,121,80,56,41
PR40669,681,344,195,120,79,55,40
PR40670,648,327,185,114,75,53,38
PR40671,525,269,154,96,64,45,33
PR40672,811,410,232,143,95,66,48
PR40673,677,347,199,124,83,59,43
PR40674,747,377,213,131,87,61,44
PR40675,672,337,190,116,76,53,39
PR40676,684,352,202,126,84,60,44
PR40677,861,437,248,154,102,71,52
PR40678,693,351,199,123,81,57,42
PR40679,874,444,252,156,104,73,53
PR40680,754,391,226,142,96,68,50
PR40681,796,404,230,142,94,66,48
PR40682,733,371,210,130,86,60,44
PR40683,844,438,254,160,108,77,57
PR40684,788,410,238,150,101,72,53
PR40685,736,373,212,131,87,61,45
PR40686,781,397,226,140,93,65,48
PR40687,680,355,207,131,89,63,47
PR40688,762,388,221,137,91,64,47
PR40689,888,453,259,161,107,75,55
PR40690,719,376,219,139,94,67,50
PR40691,573,289,164,101,67,47,34
PR40692,685,356,207,131,88,63,47
PR40693,704,360,206,129,86,61,45
PR40694,751,383,219,136,91,64,47
PR40695,749,384,220,138,92,65,48
PR40696,629,321,184,115,77,54,40
PR40697,772,397,228,143,96,68,50
PR40698,643,329,188,117,78,55,41
PR40699,689,356,206,130,87,62,46
PR40700,730,375,215,135,90,64,47
PR40701,668,344,198,124,83,59,44
PR40702,530,275,159,100,68,48,36
PR40703,631,324,186,117,78,55,41
PR40704,437,229,134,85,58,42,31
PR40705,664,342,197,124,83,59,44
PR40706,472,250,148,95,65,47,35
PR40707,586,300,172,108,72,51,38
PR40708,469,243,141,89,60,43,32
PR40709,518,267,154,97,65,46,34
PR40710,517,267,154,97,65,46,34
PR40711,356,188,111,71,49,35,27
PR40712,541,277,159,99,66,47,35
PR40713,393,204,118,75,51,36,27
PR40714,581,299,172,108,73,52,38
PR40715,462,239,138,87,59,42,31
PR40716,356,188,111,71,49,35,27
PR40717,616,316,181,113,76,54,40
PR40718,430,225,131,83,57,41,30
PR40719,538,281,164,104,71,51,38
PR40720,474,247,144,91,62,44,33
PR40721,302,163,98,64,44,32,25
PR40722,572,295,170,107,72,51,38
PR40723,428,225,132,84,57,41,31
PR40724,394,206,121,77,53,38,29
PR40725,480,250,145,92,62,44,33
PR40726,426,224,132,84,57,41,31
PR40727,525,270,156,98,66,47,35
PR40728,341,178,104,66,45,32,24
PR40729,321,170,100,64,44,32,24
PR40730,509,263,152,96,65,46,34
PR40731,481,252,147,94,64,46,34
PR40732,372,197,116,75,51,37,28
PR40733,435,225,130,82,55,39,29
PR40734,418,219,128,82,56,40,30
